SongNumber,SongID,Title,ArtistName,Duration,Year,AlbumID,AlbumName,ArtistID,ArtistLongitude,ArtistLatitude,ArtistLocation,KeySignature,Tempo,TimeSignature,Loudness,Mode,Segments_nb,Sections_nb,Beats_nb,Bars_nb,Tatums_nb,Artist_Familiarity,Artist_Terms,Danceability,Song_Hotness,Artist_Hotness
1,"b'SOBBQDL12A58A7A988'","b"100 Club 1996 ''We Love You Beatles'' - Live"","b'Sex Pistols'",88.73751,0,467088,"b'Sex Pistols - The Interviews'","b'ARD3LXU1187B9ABFC5'",,,"b''",2,190.333,5,-11.229,0,378,4,278,54,278,0.7311842304128983,9,0.0,nan,0.5492043838770254
2,"b'SOIZHEV12A8C14138B'","b'Yo Quiero Contigo'","b'Baby Rasta & Gringo'",167.36608,0,716669,"b'Sentenciados - Platinum Edition'","b'ARWWPKQ11F4C83D8E2'",,,"b''",4,122.701,5,-8.383,0,914,9,340,67,1021,0.6101863097649284,17,0.0,nan,0.3553202621732783
3,"b'SOHFGYR12A8C13AE07'","b'Vankina vapauden'","b'Markus'",189.36118,0,113407,"b'20 Suosikkia / Jos viel\xc3\xa4 oot vapaa'","b'AR6BUE51187B9B5D71'",-85.69091,37.82245,"b'Kentucky'",5,97.103,3,-10.819,0,666,6,303,100,606,0.5375333077362084,32,0.0,nan,0.34388404852562177
4,"b'SOLFRNH12AB0181C7E'","b'Goody Goody'","b'Charlie Byrd Trio'",232.93342,0,556943,"b"I've Got the World On a String"","b'AR137UW1187B98CCBA'",,,"b''",5,173.828,4,-19.664,1,897,8,659,164,1317,0.3947682706531907,12,0.0,nan,0.17541118109433804
5,"b'SOKMTOP12AC468980A'","b'Emerald'","b'Bedrock'",501.86404,2004,699533,"b'Emerald'","b'ARFN4JN1187B98C627'",18.48617,-22.96566,"b'Detroit'",6,129.988,4,-14.442,1,3494,14,1087,270,2175,0.6540393506314532,47,0.0,nan,0.39062470750071526
6,"b'SOBZHHO12A8C134565'","b'To Pouli'","b'Angela Dimitriou'",78.70649,0,291030,"b'Thisia Live'","b'AR4OHL91187B9B2EB9'",,,"b''",7,111.661,4,-6.072,1,302,3,147,36,293,0.26471398656972184,3,0.0,nan,0.0
7,"b'SODHTCY12A58A7F125'","b'Karma'","b'Alicia Keys'",255.99955,2003,296589,"b'The Diary Of Alicia Keys'","b'AR52EZT1187B9900BF'",-73.9454,40.8079,"b'Harlem New York'",7,113.485,3,-6.155,0,1039,11,481,159,1443,0.9339161063701853,27,0.0,0.7233486014585032,0.7786735791842135
8,"b'SOSICQR12A8C131756'","b'Money Blues'","b'Joanna Connor'",243.66975,0,240758,"b'Slidetime'","b'AR1IY3B1187B98B384'",-89.50409,39.73926,"b'Brooklyn NY'",5,92.471,3,-5.955,1,780,10,367,121,733,0.47921800091105654,27,0.0,0.26586104921065007,0.33285651445677245
9,"b'SOEEKOU12AB0184A31'","b'This Is A Stick Up'","b'Ghetto Mafia'",286.37995,0,450701,"b'Full Blooded Niggaz'","b'ARSPC9J1187B9A7EA1'",-84.39111,33.74831,"b'Atlanta GA'",9,90.049,4,-9.383,0,1156,8,443,95,1329,0.408796736678439,19,0.0,nan,0.0
10,"b'SOQBAQW12AAF3B35B8'","b'Heartbreaker'","b'Free'",229.56363,1972,10223,"b'Chronicles'","b'ARWNGWU124207838D7'",,,"b''",2,165.904,4,-11.68,1,1062,11,633,157,1266,0.4151403678952871,2,0.0,nan,0.24973967120009483
11,"b'SOLDWJO12AB0180E63'","b"Baby_ It's Gonna Cost You"","b'Frenchy'",197.90322,0,632888,"b'Bumps & Grinds'","b'ARNWJEE1187B98DB44'",,,"b''",0,85.515,1,-9.241,1,792,11,265,265,797,0.5658198469577149,31,0.0,0.0,0.30814406064184013
12,"b'SOQZNYW12A8C1411B3'","b'Sou Vazo Diskola'","b'Natassa Theodoridou'",209.99791,0,307740,"b'I Ellada Ti Nichta 2 (Greece At Night 2)'","b'AR15O341187B9B182C'",,,"b''",4,139.423,1,-5.993,0,729,9,487,487,975,0.34416504941451576,5,0.0,nan,0.30318955663217473
13,"b'SOQBCSM12AC4687CDE'","b"Pete's Crusade"","b'Light Of The World'",247.74485,1980,596889,"b'The Best Of The Light Of The World'","b'ARDMPZU1187B99A472'",-0.12714,51.50632,"b'London England'",0,120.444,4,-13.546,1,1194,12,493,122,985,0.4757309775508306,33,0.0,nan,0.36584157406786777
14,"b'SOSTZFN12AC468E3F1'","b'deine liebe'","b'[kaleidoskop]'",320.522,0,599533,"b"...wir geh'n schon mal vor"","b'ARCSHW51187B9A79D2'",,,"b''",9,144.463,4,-6.083,1,818,12,762,190,1525,0.43424273956967324,10,0.0,nan,0.31105922450193013
15,"b'SONRUUU12A8C13C821'","b'Looking In Your Eyes'","b'Suicidal Tendencies'",167.78404,1987,92649,"b'Join The Army'","b'ARNDB1X1187B990AA0'",-118.24532,34.05349,"b'Venice CA'",4,166.09,7,-9.966,1,486,10,448,63,897,0.736677413340632,43,0.0,0.5506471533741789,0.5261825563468479
16,"b'SONXCLB12A8C138FEB'","b"Doin' It"","b'Professor Longhair'",242.31138,1985,200685,"b"Rock'N Roll Gumbo"","b'ARA8O8L1187B9AD61D'",-89.8643,30.79062,"b'Bogalusa LA'",7,143.29,1,-13.715,1,1039,12,576,576,1151,0.6117711132155927,40,0.0,nan,0.40205489673447026
17,"b'SOLSWBA12A8C141B9A'","b'Chiove'","b'Rita Chiarelli'",228.38812,2006,238650,"b'The Italian Sessions'","b'AR7LIU31187B98EF11'",,,"b''",8,99.381,1,-16.107,1,619,13,378,378,757,0.4048233033081587,30,0.0,nan,0.28805028537557953
18,"b'SOOIPTF12A8C139366'","b'Apagon'","b'Estopa'",185.83465,0,293906,"b'La Calle Es Tuya?'","b'ARZ4Y2H1187FB3C36F'",,,"b''",2,146.051,4,-7.541,1,891,8,456,113,911,0.6268213269397005,41,0.0,0.5306630301441494,0.3887526034036332
19,"b'SOCAZDF12A58A7AF5F'","b'It Came Upon A Midnight Clear'","b'Cristy Lane'",142.70649,0,262808,"b'27 Christmas Classics'","b'ARF3XJD1187FB38DE0'",-89.58776,40.69214,"b'Peoria IL'",5,120.227,3,-7.954,1,361,7,269,89,269,0.4206159723883332,18,0.0,nan,0.3379207502523265
